Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-108,claptrap brouhaha claptrap,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T08:26:54.786-0400,2023-12-12T13:22:42.999722
TEST-109,mumpsimus quockerwodger fustilugs jentacular slubberdegullion pandiculation,To Do,No comment provided.,Verdict Zero,1d,2023-09-20T08:26:55.290-0400,2023-12-12T13:22:43.243597
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,,2023-12-12T13:22:43.452472
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,,2023-12-12T13:22:43.745946
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,,2023-12-12T13:22:43.961470
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,,2023-12-12T13:22:44.167606
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,2023-09-16T08:26:54.491-0400,2023-12-12T13:22:44.477201
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:26:55.889-0400,2023-12-12T13:22:44.663035
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,,2023-12-12T13:22:44.820847
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,,2023-12-12T13:22:45.091414
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,,2023-12-12T13:22:45.229806
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,,2023-12-12T13:22:45.377103
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-18T08:27:13.926-0400,2023-12-12T13:22:45.601251
TEST-121,limerence eschew kakorrhaphiophobia absquatulate,To Do,No work records found.,,,,2023-12-12T13:22:45.780865
TEST-122,omphaloskepsis clews,To Do,No comment provided.,Verdict Zero,5h,2023-09-14T08:27:14.265-0400,2023-12-12T13:22:45.955509
TEST-123,flibbertigibbet eucatastrophe lollygag absquatulate brouhaha,To Do,No work records found.,,,,2023-12-12T13:22:46.213645
TEST-124,throttlebottom quockerwodger xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-21T08:27:14.910-0400,2023-12-12T13:22:46.417415
TEST-125,widdershins floccinaucinihilipilification limerence widdershins taradiddle,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:14.564-0400,2023-12-12T13:22:46.728299
TEST-126,ventriloquize,To Do,No comment provided.,Verdict Zero,2h,2023-09-26T08:27:15.375-0400,2023-12-12T13:22:46.933751
TEST-127,kakorrhaphiophobia mumpsimus zymurgy doodle-sack,To Do,No work records found.,,,,2023-12-12T13:22:47.347353
TEST-128,xenodocheionology whippersnapper cacoethes yaffle obambulate cacoethes,To Do,No work records found.,,,,2023-12-12T13:22:47.525690
TEST-129,obambulate pandiculation jentacular lollygag ventriloquize cachinnate,To Do,No comment provided.,Verdict Zero,1h,2023-09-16T08:27:25.733-0400,2023-12-12T13:22:47.752376
TEST-130,quixotic pogonotrophy absquatulate quixotic yaffle,To Do,No work records found.,,,,2023-12-12T13:22:47.906148
TEST-131,limerence,To Do,No work records found.,,,,2023-12-12T13:22:48.158947
TEST-132,claptrap bathykolpian doodle-sack defenestration,To Do,No work records found.,,,,2023-12-12T13:22:48.299655
TEST-133,taradiddle bibble xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-15T08:27:25.449-0400,2023-12-12T13:22:48.569332
TEST-134,claptrap lollygag cacoethes kakorrhaphiophobia eucatastrophe,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:26.540-0400,2023-12-12T13:22:48.778492
TEST-135,xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:27:26.950-0400,2023-12-12T13:22:49.087636
TEST-136,xenodocheionology pogonotrophy ultracrepidarian limerence obambulate,To Do,No comment provided.,Verdict Zero,7h,2023-09-28T08:27:26.108-0400,2023-12-12T13:22:49.401183
TEST-137,susurrus gorgonize nudiustertian blatherskite,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:27:56.428-0400,2023-12-12T13:22:49.702522
TEST-138,hobbledehoy,To Do,No work records found.,,,,2023-12-12T13:22:50.014477
TEST-139,eschew quixotic,To Do,No work records found.,,,,2023-12-12T13:22:50.158506
TEST-140,zymurgy floccinaucinihilipilification limerence,To Do,No comment provided.,Verdict Zero,5h,2023-09-19T08:27:57.190-0400,2023-12-12T13:22:50.417187
TEST-141,zymurgy mumpsimus xenodocheionology lucubrate defenestration,To Do,No work records found.,,,,2023-12-12T13:22:50.564166
TEST-142,xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-19T08:27:56.022-0400,2023-12-12T13:22:50.741057
TEST-143,cacoethes cacoethes,To Do,No work records found.,,,,2023-12-12T13:22:50.916807
TEST-144,jentacular snickersnee slubberdegullion pandiculation obambulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-20T08:27:56.852-0400,2023-12-12T13:22:51.134455
