<<<<<<< Updated upstream
Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,,2023-12-21T19:09:33.250406
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,,2023-12-21T19:09:33.369271
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,,2023-12-21T19:09:33.498055
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,,2023-12-21T19:09:33.626655
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,2023-09-16T08:26:54.491-0400,2023-12-21T19:09:33.737480
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:26:55.889-0400,2023-12-21T19:09:33.876972
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,,2023-12-21T19:09:34.010524
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,,2023-12-21T19:09:34.191754
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,,2023-12-21T19:09:34.306442
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,,2023-12-21T19:09:34.401379
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-18T08:27:13.926-0400,2023-12-21T19:09:34.544912
=======
Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,,2023-12-21T19:09:33.250406
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,,2023-12-21T19:09:33.369271
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,,2023-12-21T19:09:33.498055
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,,2023-12-21T19:09:33.626655
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,2023-09-16T08:26:54.491-0400,2023-12-21T19:09:33.737480
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:26:55.889-0400,2023-12-21T19:09:33.876972
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,,2023-12-21T19:09:34.010524
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,,2023-12-21T19:09:34.191754
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,,2023-12-21T19:09:34.306442
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,,2023-12-21T19:09:34.401379
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-18T08:27:13.926-0400,2023-12-21T19:09:34.544912
>>>>>>> Stashed changes
